"Species";"TBP";"Mean";"CI95"
"V1";"X13.TY.1";0;0
"V1";"X13.TY.2";0;0
"V1";"X13.TY.5";0;0
"V1";"X13.TY.03";0;0
"V1";"X13.TY.4";0;0
"V1";"X13.TY.6";0;0
"V1";"X13.TY.8";0;0
"V1";"X13.TY.12";0;0
"V1";"X13.TY.11";0;0
"V1";"X13.TY.10";0;0
"V1";"X13.TY.09";0;0
"V1";"X13.TY.15";0;0
"V1";"X13.TY.13";0;0
"V1";"X13.TY.14";0;0
"V1";"X13.TY.16";0;0
"V1";"X13.TY.28";0;0
"V1";"X13.TY.27";0;0
"V1";"X13.TY.26";0;0
"V1";"X13.TY.29";0;0
"V1";"X13.TY.30";0;0
"V1";"X13.TY.31";0;0
"V1";"X13.TY.32";0;0
"V1";"X13.TY.25";0;0
"V1";"X13.TY.17";0;0
"V1";"X13.TY.20";0;0
"V1";"X13.TY.21";0;0
"V1";"X13.TY.23";0;0
"V1";"X13.TY.19";0;0
"V1";"X13.TY.22";0;0
"V1";"X13.TY.24";0;0
"V1";"X13.TY.18";0;0
"Valeriana";"X13.TY.1";7,03;4,92433070466321
"Valeriana";"X13.TY.2";0;0
"Valeriana";"X13.TY.5";0,04;0,386014915711187
"Valeriana";"X13.TY.03";3,2;3,44587236612681
"Valeriana";"X13.TY.4";0;0
"Valeriana";"X13.TY.6";0,87;1,63997196329817
"Valeriana";"X13.TY.8";3,33;3,332
"Valeriana";"X13.TY.12";0,02;0,275782376507128
"Valeriana";"X13.TY.11";0;0
"Valeriana";"X13.TY.10";0;0
"Valeriana";"X13.TY.09";1,22;2,16829369213526
"Valeriana";"X13.TY.15";0;0
"Valeriana";"X13.TY.13";1,15;2,16462187894049
"Valeriana";"X13.TY.14";0;0
"Valeriana";"X13.TY.16";0,31;1,10365702475127
"Valeriana";"X13.TY.28";1,54;2,55962383599977
"Valeriana";"X13.TY.27";0;0
"Valeriana";"X13.TY.26";2,78;3,02078766903835
"Valeriana";"X13.TY.29";2,65;2,96627985220818
"Valeriana";"X13.TY.30";14,39;7,06904910096961
"Valeriana";"X13.TY.31";0;0
"Valeriana";"X13.TY.32";0;0
"Valeriana";"X13.TY.25";0;0
"Valeriana";"X13.TY.17";0;0
"Valeriana";"X13.TY.20";0;0
"Valeriana";"X13.TY.21";0;0
"Valeriana";"X13.TY.23";1,39;2,19170074636483
"Valeriana";"X13.TY.19";0;0
"Valeriana";"X13.TY.22";0;0
"Valeriana";"X13.TY.24";0,48;1,26071943546116
"Valeriana";"X13.TY.18";0;0
"Vaccinium.vitis.idaea";"X13.TY.1";0;0
"Vaccinium.vitis.idaea";"X13.TY.2";0;0
"Vaccinium.vitis.idaea";"X13.TY.5";0;0
"Vaccinium.vitis.idaea";"X13.TY.03";0;0
"Vaccinium.vitis.idaea";"X13.TY.4";0;0
"Vaccinium.vitis.idaea";"X13.TY.6";0;0
"Vaccinium.vitis.idaea";"X13.TY.8";0;0
"Vaccinium.vitis.idaea";"X13.TY.12";0;0
"Vaccinium.vitis.idaea";"X13.TY.11";0;0
"Vaccinium.vitis.idaea";"X13.TY.10";0;0
"Vaccinium.vitis.idaea";"X13.TY.09";0;0
"Vaccinium.vitis.idaea";"X13.TY.15";0;0
"Vaccinium.vitis.idaea";"X13.TY.13";0;0
"Vaccinium.vitis.idaea";"X13.TY.14";0;0
"Vaccinium.vitis.idaea";"X13.TY.16";0;0
"Vaccinium.vitis.idaea";"X13.TY.28";0;0
"Vaccinium.vitis.idaea";"X13.TY.27";0;0
"Vaccinium.vitis.idaea";"X13.TY.26";0;0
"Vaccinium.vitis.idaea";"X13.TY.29";0;0
"Vaccinium.vitis.idaea";"X13.TY.30";0;0
"Vaccinium.vitis.idaea";"X13.TY.31";0;0
"Vaccinium.vitis.idaea";"X13.TY.32";0;0
"Vaccinium.vitis.idaea";"X13.TY.25";0;0
"Vaccinium.vitis.idaea";"X13.TY.17";0;0
"Vaccinium.vitis.idaea";"X13.TY.20";0;0
"Vaccinium.vitis.idaea";"X13.TY.21";0;0
"Vaccinium.vitis.idaea";"X13.TY.23";0;0
"Vaccinium.vitis.idaea";"X13.TY.19";0;0
"Vaccinium.vitis.idaea";"X13.TY.22";0;0
"Vaccinium.vitis.idaea";"X13.TY.24";0;0
"Vaccinium.vitis.idaea";"X13.TY.18";0;0
"Vaccinium.uliginosum";"X13.TY.1";0;0
"Vaccinium.uliginosum";"X13.TY.2";0;0
"Vaccinium.uliginosum";"X13.TY.5";0;0
"Vaccinium.uliginosum";"X13.TY.03";0;0
"Vaccinium.uliginosum";"X13.TY.4";0;0
"Vaccinium.uliginosum";"X13.TY.6";0;0
"Vaccinium.uliginosum";"X13.TY.8";0;0
"Vaccinium.uliginosum";"X13.TY.12";0;0
"Vaccinium.uliginosum";"X13.TY.11";0;0
"Vaccinium.uliginosum";"X13.TY.10";0;0
"Vaccinium.uliginosum";"X13.TY.09";0;0
"Vaccinium.uliginosum";"X13.TY.15";0;0
"Vaccinium.uliginosum";"X13.TY.13";0;0
"Vaccinium.uliginosum";"X13.TY.14";0;0
"Vaccinium.uliginosum";"X13.TY.16";0;0
"Vaccinium.uliginosum";"X13.TY.28";0;0
"Vaccinium.uliginosum";"X13.TY.27";0;0
"Vaccinium.uliginosum";"X13.TY.26";0;0
"Vaccinium.uliginosum";"X13.TY.29";0;0
"Vaccinium.uliginosum";"X13.TY.30";0;0
"Vaccinium.uliginosum";"X13.TY.31";0;0
"Vaccinium.uliginosum";"X13.TY.32";0;0
"Vaccinium.uliginosum";"X13.TY.25";0;0
"Vaccinium.uliginosum";"X13.TY.17";0;0
"Vaccinium.uliginosum";"X13.TY.20";0;0
"Vaccinium.uliginosum";"X13.TY.21";0;0
"Vaccinium.uliginosum";"X13.TY.23";0;0
"Vaccinium.uliginosum";"X13.TY.19";0;0
"Vaccinium.uliginosum";"X13.TY.22";0;0
"Vaccinium.uliginosum";"X13.TY.24";0;0
"Vaccinium.uliginosum";"X13.TY.18";0;0
"Vaccinium.myrtillus";"X13.TY.1";0;0
"Vaccinium.myrtillus";"X13.TY.2";0;0
"Vaccinium.myrtillus";"X13.TY.5";0;0
"Vaccinium.myrtillus";"X13.TY.03";0;0
"Vaccinium.myrtillus";"X13.TY.4";0;0
"Vaccinium.myrtillus";"X13.TY.6";0;0
"Vaccinium.myrtillus";"X13.TY.8";0;0
"Vaccinium.myrtillus";"X13.TY.12";0;0
"Vaccinium.myrtillus";"X13.TY.11";0;0
"Vaccinium.myrtillus";"X13.TY.10";0;0
"Vaccinium.myrtillus";"X13.TY.09";0;0
"Vaccinium.myrtillus";"X13.TY.15";0;0
"Vaccinium.myrtillus";"X13.TY.13";0;0
"Vaccinium.myrtillus";"X13.TY.14";0;0
"Vaccinium.myrtillus";"X13.TY.16";0;0
"Vaccinium.myrtillus";"X13.TY.28";0;0
"Vaccinium.myrtillus";"X13.TY.27";0;0
"Vaccinium.myrtillus";"X13.TY.26";0;0
"Vaccinium.myrtillus";"X13.TY.29";0;0
"Vaccinium.myrtillus";"X13.TY.30";0;0
"Vaccinium.myrtillus";"X13.TY.31";0;0
"Vaccinium.myrtillus";"X13.TY.32";0;0
"Vaccinium.myrtillus";"X13.TY.25";0;0
"Vaccinium.myrtillus";"X13.TY.17";0;0
"Vaccinium.myrtillus";"X13.TY.20";0;0
"Vaccinium.myrtillus";"X13.TY.21";0;0
"Vaccinium.myrtillus";"X13.TY.23";0;0
"Vaccinium.myrtillus";"X13.TY.19";0;0
"Vaccinium.myrtillus";"X13.TY.22";0;0
"Vaccinium.myrtillus";"X13.TY.24";0;0
"Vaccinium.myrtillus";"X13.TY.18";0;0
"Vaccinium.microcarpum";"X13.TY.1";0;0
"Vaccinium.microcarpum";"X13.TY.2";0;0
"Vaccinium.microcarpum";"X13.TY.5";0;0
"Vaccinium.microcarpum";"X13.TY.03";0;0
"Vaccinium.microcarpum";"X13.TY.4";0;0
"Vaccinium.microcarpum";"X13.TY.6";0;0
"Vaccinium.microcarpum";"X13.TY.8";0;0
"Vaccinium.microcarpum";"X13.TY.12";0;0
"Vaccinium.microcarpum";"X13.TY.11";0;0
"Vaccinium.microcarpum";"X13.TY.10";0;0
"Vaccinium.microcarpum";"X13.TY.09";0;0
"Vaccinium.microcarpum";"X13.TY.15";0;0
"Vaccinium.microcarpum";"X13.TY.13";0;0
"Vaccinium.microcarpum";"X13.TY.14";0;0
"Vaccinium.microcarpum";"X13.TY.16";0;0
"Vaccinium.microcarpum";"X13.TY.28";0;0
"Vaccinium.microcarpum";"X13.TY.27";0;0
"Vaccinium.microcarpum";"X13.TY.26";0;0
"Vaccinium.microcarpum";"X13.TY.29";0;0
"Vaccinium.microcarpum";"X13.TY.30";0;0
"Vaccinium.microcarpum";"X13.TY.31";0;0
"Vaccinium.microcarpum";"X13.TY.32";0;0
"Vaccinium.microcarpum";"X13.TY.25";0;0
"Vaccinium.microcarpum";"X13.TY.17";0;0
"Vaccinium.microcarpum";"X13.TY.20";0;0
"Vaccinium.microcarpum";"X13.TY.21";0;0
"Vaccinium.microcarpum";"X13.TY.23";0;0
"Vaccinium.microcarpum";"X13.TY.19";0;0
"Vaccinium.microcarpum";"X13.TY.22";0;0
"Vaccinium.microcarpum";"X13.TY.24";0;0
"Vaccinium.microcarpum";"X13.TY.18";0;0
"Tofieldia.coccinea";"X13.TY.1";0;0
"Tofieldia.coccinea";"X13.TY.2";0;0
"Tofieldia.coccinea";"X13.TY.5";0;0
"Tofieldia.coccinea";"X13.TY.03";0;0
"Tofieldia.coccinea";"X13.TY.4";0;0
"Tofieldia.coccinea";"X13.TY.6";0;0
"Tofieldia.coccinea";"X13.TY.8";0;0
"Tofieldia.coccinea";"X13.TY.12";0;0
"Tofieldia.coccinea";"X13.TY.11";0;0
"Tofieldia.coccinea";"X13.TY.10";0;0
"Tofieldia.coccinea";"X13.TY.09";0;0
"Tofieldia.coccinea";"X13.TY.15";0;0
"Tofieldia.coccinea";"X13.TY.13";0;0
"Tofieldia.coccinea";"X13.TY.14";0;0
"Tofieldia.coccinea";"X13.TY.16";0;0
"Tofieldia.coccinea";"X13.TY.28";0;0
"Tofieldia.coccinea";"X13.TY.27";0;0
"Tofieldia.coccinea";"X13.TY.26";0;0
"Tofieldia.coccinea";"X13.TY.29";0;0
"Tofieldia.coccinea";"X13.TY.30";0;0
"Tofieldia.coccinea";"X13.TY.31";0;0
"Tofieldia.coccinea";"X13.TY.32";0;0
"Tofieldia.coccinea";"X13.TY.25";0;0
"Tofieldia.coccinea";"X13.TY.17";0;0
"Tofieldia.coccinea";"X13.TY.20";0;0
"Tofieldia.coccinea";"X13.TY.21";0;0
"Tofieldia.coccinea";"X13.TY.23";0;0
"Tofieldia.coccinea";"X13.TY.19";0;0
"Tofieldia.coccinea";"X13.TY.22";0;0
"Tofieldia.coccinea";"X13.TY.24";0;0
"Tofieldia.coccinea";"X13.TY.18";0;0
"Thymus";"X13.TY.1";0;0
"Thymus";"X13.TY.2";0;0
"Thymus";"X13.TY.5";0;0
"Thymus";"X13.TY.03";0;0
"Thymus";"X13.TY.4";0;0
"Thymus";"X13.TY.6";0;0
"Thymus";"X13.TY.8";0;0
"Thymus";"X13.TY.12";0;0
"Thymus";"X13.TY.11";0;0
"Thymus";"X13.TY.10";0;0
"Thymus";"X13.TY.09";0;0
"Thymus";"X13.TY.15";0;0
"Thymus";"X13.TY.13";0;0
"Thymus";"X13.TY.14";0;0
"Thymus";"X13.TY.16";0;0
"Thymus";"X13.TY.28";0;0
"Thymus";"X13.TY.27";0;0
"Thymus";"X13.TY.26";0;0
"Thymus";"X13.TY.29";0;0
"Thymus";"X13.TY.30";0;0
"Thymus";"X13.TY.31";0;0
"Thymus";"X13.TY.32";0;0
"Thymus";"X13.TY.25";0;0
"Thymus";"X13.TY.17";0;0
"Thymus";"X13.TY.20";0;0
"Thymus";"X13.TY.21";0;0
"Thymus";"X13.TY.23";0;0
"Thymus";"X13.TY.19";0;0
"Thymus";"X13.TY.22";0;0
"Thymus";"X13.TY.24";1,55;2,25247159423338
"Thymus";"X13.TY.18";0;0
"Thalictrum";"X13.TY.1";1,39;2,2614120555194
"Thalictrum";"X13.TY.2";0;0
"Thalictrum";"X13.TY.5";0;0
"Thalictrum";"X13.TY.03";0;0
"Thalictrum";"X13.TY.4";0;0
"Thalictrum";"X13.TY.6";0;0
"Thalictrum";"X13.TY.8";0;0
"Thalictrum";"X13.TY.12";0;0
"Thalictrum";"X13.TY.11";0;0
"Thalictrum";"X13.TY.10";0;0
"Thalictrum";"X13.TY.09";0,15;0,756544510230294
"Thalictrum";"X13.TY.15";0;0
"Thalictrum";"X13.TY.13";0;0
"Thalictrum";"X13.TY.14";0;0
"Thalictrum";"X13.TY.16";0;0
