"";"Agrostidinae";"Alnus";"Anthemideae";"Apiaceae";"Arctous";"Arnica";"Asteraceae";"Asteroideae";"Astragalus";"Betula";"Bistorta";"Braya";"Cardamine";"Carex";"Castilleja";"Cerastium";"Chrysosplenium";"Crepidinae";"Delphinium";"Draba";"Dryas";"Empetrum";"Epilobium";"Eriophorum";"Eritrichium";"Galium";"Geum";"Juniperus";"Kobresia";"Larix";"Luzula";"Minuartia";"Myosotis";"Oxytropis";"Papaver";"Parrya";"Pedicularis";"Pinus";"Poeae";"Poinae";"Populus";"Puccinellia";"Ranunculaceae";"Ranunculus";"Rhododendron";"Ribes";"Rosoideae";"Rubus";"Rumex";"Saliceae";"Sambucus";"Saussurea";"Saxifraga";"Saxifragaceae";"Senecioninae";"Silene";"Stellaria";"Tephroseris";"Thalictrum";"Thymus";"Valeriana"
"X13.TY.1";0;0;11,76;0;0,14;0;24,55;4,64;11,39;23,82;0,38;0;0;28,32;0;0;1,04;0;2,57;0,89;163,84;0,6;0;12,23;1,38;0;0,68;0;0,59;2,57;0,84;0;0;1,98;12,05;2,32;3,29;0;0;9,8;0;0;0,6;7,74;15,36;0;1,58;0,08;0;1248,71;0,02;0,01;1,79;0,78;0,35;0,93;0,32;0,01;1,39;0;7,03
"X13.TY.2";1,74;0;0;0;0;0;2,72;0;0;220,6;0,14;0;0;77,1;0;0;0;0;0;0;36,35;0;0;18,57;0;0;0;0;0;0;0;0;0;0;0;0;5,92;0;0;70,55;0;0;0;2,07;1,24;0;10,37;0,63;0;880,76;1,15;0;0,02;0;0,02;0;0;0,5;0;0;0
"X13.TY.5";1,04;0;1,81;0;0;0;26,51;0,07;0;636,79;1,05;0;0;25,04;0;0;0;0;0;1,03;234,52;0;0;2,01;0;0;0;0;0;0;0;0;0;0;1,58;0;2,93;0;0;7,61;0;0;0;0,04;5,91;0;0;0;0;689,31;0,17;0;1,06;0;0,01;0;0;0,01;0;0;0,04
"X13.TY.03";0;0;0;0;0;0;119,27;0,39;0;93,91;7,23;0;0;12,8;0;0;0;0;0;0;95,79;0;0,83;0,9;0;0;0;0;0;1,28;0;0;0;0;0;0;3,82;280,65;0;67,77;0;0;0;0;44,11;0;0,01;0;0;771,3;1,13;0;1,46;3,87;0;0;0;7,09;0;0;3,2
"X13.TY.4";0;0;0;0;0;0;0;0;0;831,68;0;0;78,12;2,99;0;0;0;0;0;0;0;0;1,93;0,74;0;0;0;0;0;0;1,89;0;0;0;0;0;23,97;0;0;0;0;0;39,46;0;6,97;0;46,66;0,12;0;362,18;0;0;0;0;0;0;0;0;0;0;0
"X13.TY.6";0,42;0;10,89;0;0,03;2,33;29,04;4,33;13,06;214,8;0,22;0;0;18,45;0;0;0;0;0;0;808,63;5,67;0;1,24;0;0;0;0;0;3,45;0,33;0;0;5,74;0,21;0;4,21;0;0;3,93;0,84;0;0;0,29;22,61;0;0;0;0;469,64;0,17;0;0,52;0,06;0,07;0;0;0;0;0;0,87
"X13.TY.8";0;0;0,06;0,04;0;0;40,52;0,01;8,71;168,68;2,35;0;0;21,1;0;0;0;0;0;0;139,77;1,19;0;2,94;0,03;0;0;0;0;0,02;0;0;0;0,06;1,61;0;2,05;0;0;21,65;0;0;0;0,09;10,1;0;0;0;0,38;1189,38;0,14;0,02;1,4;0,34;0;0;0;0;0;0;3,33
"X13.TY.12";0;0;0;0;0;0;1,65;0;0;11,81;0;0;0;0,11;0;0;0,03;0;0;0;5,61;0;0,5;0,01;0;0;0;0;0;0,88;0;0;0;0;0,3;0;4,36;1,4;0;461,65;0;0;7,22;11,44;1,63;0;1,76;0,01;0,92;1179,77;0;0;0;0,25;0;0;0;0;0;0;0,02
"X13.TY.11";0;0;0;0;0;0;2,73;0;0,91;17,05;0;2,6;0;4,63;0;0;1,94;0;0;0;0;0;8,41;3,49;0;0;0;0;0;0,09;0;0;0;0;0;0;0,69;0;0;829,81;0;0;239,26;7,74;0,29;0;2,25;0;0;532,57;0;0;2,93;0;0;0;0;1,01;0;0;0
"X13.TY.10";0;0;0;0;0;0;12,41;0,01;0;33,58;0;0;0;1,47;0;0;0;0;0;0;5,71;0;0;0,05;0;0;0;5,73;0;5,12;0;0;0;0;0;0;0;0;0;165,55;0;0;4,01;328,46;36,09;0;57,48;0,07;0;953,2;0,04;0;1,77;0;0;0;0;0;0;0;0
"X13.TY.09";3,28;0,14;11,86;1,34;0;0;69,6;2,34;0,12;28,06;1;1,86;0;7,3;0;0,04;0,09;0;0;1;127,78;0,14;1,59;8,19;2,76;0;0;0;0,01;88,73;0,33;0,03;0;0,74;8,64;1,15;0,42;0;0;5,47;0;0;57,4;0,64;141,34;0,36;39,58;4,91;0;877,13;0,59;0,18;0,84;1,88;0,61;0,14;0,45;2,2;0,15;0;1,22
"X13.TY.15";0;0;0;0;2,34;0,11;172,17;0,88;0;17,19;0;0;0;17,67;0;0;0;0;0;0;27,15;3,1;0;3,89;3,14;0;0;0;0;345,79;0,08;0;0;0;0;0;0;0;0;8,32;0;0;0;25,34;14,95;0;0;0;0;895,64;0,19;0;0,62;0;0;0;1,06;3,76;0;0;0
"X13.TY.13";0,95;0,07;4,04;0;0;0;35,02;4,05;1,1;13,15;0;0;0;28,4;2,64;0;0,51;1,76;0;0;134,59;2,04;0,15;6,43;1,16;0;0;0;0;43,19;0,94;0,54;0;1,79;4,48;1,45;0,02;0,41;0;118,97;0;0;15,24;14,25;109,25;0;10,52;0,76;0;903,42;0,19;0;2,41;0,92;0,07;0;0;11,76;0;0;1,15
"X13.TY.14";0;0,32;7,7;0;0,02;0;27,22;2,24;1,5;15,01;0,02;0;0;5,09;0;0;0;0;0;0;94,32;7,72;3,92;1,63;4,72;0;0;0;0,12;76,9;0;0;0;0;8,98;0;0;0;1,94;74,07;0;0;1,66;0;134,06;0;15,13;0,51;0;956,21;0,03;0;0;0;0,58;0;0;0;0;0;0
"X13.TY.16";0,33;0,03;21,21;0,62;0;0;35,42;2,17;0,55;13,1;0,31;1,32;0;0,74;0;0,62;1,64;0;0;0,25;132,52;0;0,32;0,14;14,36;0;0;0;0,03;37,84;0;0,04;0;0,6;6,44;0;0,58;2,22;0;60,33;0;0,6;15,89;1,49;51,58;0,3;12,47;1,8;0;1120,05;0,78;2,58;0,35;0,49;0,83;0,32;0,34;89,04;0;0;0,31
"X13.TY.28";0;0,18;1,07;0;0;0;49,84;0,94;0;129,39;0;0;0;1,35;0;0;0;0;0;0;37,96;0;0,37;0,52;0;0;0;0;0;82,75;0;0;0;0;0;0;0;0;0;198,08;0;0;39,39;0;78,74;2,42;24,11;3,89;0;912,62;0,64;0;0,36;0;0,01;0;0;0,23;0;0;1,54
"X13.TY.27";0;0;0;0;0,48;0;32,8;0;0;12,38;0;0;0;4,33;0;0;0;0;0;0;3,29;0;0,42;0,3;0;0;0;0;0;77,08;0;0;0;0;0;0;0,05;0;5,62;24,73;0;0;28,43;1;11,28;0,74;24,12;0,29;0;1103,49;0,61;0;0;2,5;0;0;0;4,54;0;0;0
"X13.TY.26";0;0,19;0;0;0;0;61,35;0,11;0;48,41;0;6,96;0;3,4;0;0;0;0;0;0;4,03;0;0;1,32;0;0;0;0;0;57,21;0;0;0;0;0;0;0;0;0;8,36;0;0;11,82;0;18,22;0;17,2;0,53;0;1368,73;3,46;0;1,35;6,87;0;0;0;0;0,92;0;2,78
"X13.TY.29";0;0;0;0;0;0;146,88;0,08;0;5,6;0;0;0;0,32;0;0;0;0;0;0;107,25;0;3,33;0,27;3,99;0;0;0;0;180,22;0;0;0;0;0;0;0;1,35;0;1,33;0;0;0;0;10,65;0;0;0;0;1174,56;3,36;0;0;0;0;0;0;0;2,08;0;2,65
"X13.TY.30";0;0,34;9,82;0;0,47;0,84;26,61;0,06;0,44;18,15;0;0;0;1,46;0,3;0;0;0;0;0,21;239,47;1,92;2,87;0,09;1,14;0;0,65;0;0;96,76;0;0;0;0;11,01;0,97;1,14;0,02;0;2,14;0;0;1,51;0,1;74,17;0,66;3,34;0,42;0,46;1025,9;0,37;0;1,03;0;0,38;0;0;0,44;0,52;0;14,39
"X13.TY.31";0;0,09;0,33;0;0;0;4,59;0;0;313,41;0;0;0;5,36;0;0;0,27;0;0;0;2,64;0,36;18,79;1,84;0;0;0;0;0;31,99;0;0;0;0;0,53;0;0,3;0;0;187,14;0;0;39,61;0,13;108,52;0,45;83,18;0,53;0;856,03;0,4;0;0,15;0;0;0;0,16;0,14;0;0;0
"X13.TY.32";0;0,05;0;0;0,27;0;14,73;0,07;0;171,06;0;0;0;0,27;0;0;0;0;0;0;5,13;2,68;1,59;0,31;0;0;0;0;0;62,34;0;0;0;0;0;0;0,17;0;0;54,07;0;0;42,47;0,17;61,56;0;28,74;0,26;0;1189,59;0,7;0;1,76;0,09;0,01;0;0,15;1,96;0;0;0
"X13.TY.25";0;0,16;0,05;0;0;0;51,79;0,23;0;157,45;0;0;0;6,54;0;0;0;0;0;0;0;0;3,84;5,98;0;0;0;0;0;25,41;0;0;0;0;2,54;0;0,33;0;0;194,41;0;0;337,06;0;44,04;0;55,34;0,05;0;757,44;2,59;0;16,15;0;0;0;0;2,54;0;0;0
"X13.TY.17";0;0;0,89;0;0;0;3,82;0,05;0;33,32;0;0;0;3,33;0;0;0;0;0;0;0;0;0;0,79;0;0;0;0;0;794,47;0;0;0;1,22;0;0;0,16;0;0;0;0;0;0;0,4;1,78;0;2,92;0;0;572,12;9,33;0;0;0;0,17;0;0;0;0;0;0
"X13.TY.20";0,7;0,08;0;0;0;0;3,23;0;0;271,79;0;0;0;6,47;0;0;0;0;0;0;0;0;2,81;0,32;0;0,58;0;0;0;78,86;0;0;0;0;0;0;0;5,88;0;0;0;0;0;0;257,31;0;304,89;0,59;0;601,92;11,07;0;0;0;0;0;0;0,29;0;0;0
"X13.TY.21";0;0;0,56;1,1;0;0;10,02;0;0;14,93;0;0;0;5,85;0;0;1,07;0;0;0;46,79;0;0;0,56;0;0;0;0;0;34,8;0;0;1,6;0;3,47;0;0;0;0;3,66;0;0;5,15;0;15,06;0;8,36;0;0;1522,22;0;0;0;0;0;0;0;2,09;0;0;0
"X13.TY.23";11,81;0,49;0;0;0;0;69,8;0,18;0;28,18;2,67;0;0;1,03;0;0;0,61;0;0;0;32,34;0;4,13;0,14;0;0;0;0;0;208,89;0;0,1;4,61;0;0;0;0;0;0;0;4,26;0;13,41;10,96;43,06;0;44,72;1,79;0;986,63;1,34;0;2,81;0;0,04;0;1,46;124,88;0;0;1,39
"X13.TY.19";0;0;0;0;0;0;120,71;0,53;0;23,66;0;0;0;77,08;0;0;0;0;0;0;0;0;0;7,59;0;0;0;0;0;651,23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139,9;0;154,48;0;0;489,16;0,62;0;0;0;0;0;0;0;0;0;0
"X13.TY.22";6,25;0;4,47;0;0,15;0;27,66;0,01;0;381,59;0;0;0;0,37;0;0;0;0;0;0;40,22;0;1,23;0,1;0,45;4,53;0;0;0;157,72;0;0;0;0,11;0,07;0;0,37;0;0;0;7,48;0;13,44;1,24;28,26;0;43,08;2,17;0;903,22;1,98;4,69;1,6;0;0,22;0;1,89;32,74;0;0;0
"X13.TY.24";0,47;0,05;6,24;0,76;0;0,44;29,8;0,15;0,24;29,19;0;0;0;0,07;0;0;0,14;0,1;0;0;109,67;0;0,77;0;6,4;0;0,49;0;0;54,58;0;0;0,53;0,24;1,4;0;0;0;0,25;1,28;0,1;0;1,7;11,55;25,36;0,21;29,65;3,26;0,54;1328,92;7,73;7,76;0;0;0,79;0;0;0,19;0;1,55;0,48
"X13.TY.18";0;0;0;0;0;0;164;0;0;37;0;0;0;42;0;0;0;0;0;0;70;0;0;0;0;0;0;110;0;121;0;0;0;0;0;0;0;0;0;1;0;0;0;0;55;0;3;0;0;943;0;0;0;0;0;0;0;0;0;0;0
