"Species";"TBP";"Mean";"CI95"
"V1";"X13.TY.1";0;0
"V1";"X13.TY.2";0;0
"V1";"X13.TY.5";0;0
"V1";"X13.TY.03";0;0
"V1";"X13.TY.4";0;0
"V1";"X13.TY.6";0;0
"V1";"X13.TY.8";0;0
"V1";"X13.TY.12";0;0
"V1";"X13.TY.11";0;0
"V1";"X13.TY.10";0;0
"V1";"X13.TY.09";0;0
"V1";"X13.TY.15";0;0
"V1";"X13.TY.13";0;0
"V1";"X13.TY.14";0;0
"V1";"X13.TY.16";0;0
"V1";"X13.TY.28";0;0
"V1";"X13.TY.27";0;0
"V1";"X13.TY.26";0;0
"V1";"X13.TY.29";0;0
"V1";"X13.TY.30";0;0
"V1";"X13.TY.31";0;0
"V1";"X13.TY.32";0;0
"V1";"X13.TY.25";0;0
"V1";"X13.TY.17";0;0
"V1";"X13.TY.20";0;0
"V1";"X13.TY.21";0;0
"V1";"X13.TY.23";0;0
"V1";"X13.TY.19";0;0
"V1";"X13.TY.22";0;0
"V1";"X13.TY.24";0;0
"V1";"X13.TY.18";0;0
"Valeriana";"X13.TY.1";7,56;5,49676068427597
"Valeriana";"X13.TY.2";0;0
"Valeriana";"X13.TY.5";0,04;0,386014915711187
"Valeriana";"X13.TY.03";3,06;3,34089721210009
"Valeriana";"X13.TY.4";0;0
"Valeriana";"X13.TY.6";1,05;1,89712275498312
"Valeriana";"X13.TY.8";3,45;3,83367060439865
"Valeriana";"X13.TY.12";0,02;0,275782376507128
"Valeriana";"X13.TY.11";0;0
"Valeriana";"X13.TY.10";0;0
"Valeriana";"X13.TY.09";1,1;1,9401010074715
"Valeriana";"X13.TY.15";0;0
"Valeriana";"X13.TY.13";0,89;2,10131191344259
"Valeriana";"X13.TY.14";0;0
"Valeriana";"X13.TY.16";0,3;1,09677949129497
"Valeriana";"X13.TY.28";1,45;2,16462187894049
"Valeriana";"X13.TY.27";0;0
"Valeriana";"X13.TY.26";2,96;3,1136476124548
"Valeriana";"X13.TY.29";2,47;3,20617815216721
"Valeriana";"X13.TY.30";15,09;7,62977282582761
"Valeriana";"X13.TY.31";0;0
"Valeriana";"X13.TY.32";0;0
"Valeriana";"X13.TY.25";0;0
"Valeriana";"X13.TY.17";0;0
"Valeriana";"X13.TY.20";0;0
"Valeriana";"X13.TY.21";0;0
"Valeriana";"X13.TY.23";1,62;2,65429116258137
"Valeriana";"X13.TY.19";0;0
"Valeriana";"X13.TY.22";0;0
"Valeriana";"X13.TY.24";0,4;1,50021143291016
"Valeriana";"X13.TY.18";0;0
"Vaccinium.vitis.idaea";"X13.TY.1";3,01;3,03251867848387
"Vaccinium.vitis.idaea";"X13.TY.2";1,44;2,09066666666667
"Vaccinium.vitis.idaea";"X13.TY.5";2,24;3,07855466546931
"Vaccinium.vitis.idaea";"X13.TY.03";4,53;4,46127564309093
"Vaccinium.vitis.idaea";"X13.TY.4";0;0
"Vaccinium.vitis.idaea";"X13.TY.6";11,19;6,96285717506858
"Vaccinium.vitis.idaea";"X13.TY.8";8,38;4,96611477104506
"Vaccinium.vitis.idaea";"X13.TY.12";0,02;0,275782376507128
"Vaccinium.vitis.idaea";"X13.TY.11";0;0
"Vaccinium.vitis.idaea";"X13.TY.10";60,93;15,9359163672707
"Vaccinium.vitis.idaea";"X13.TY.09";27,64;10,2906646250008
"Vaccinium.vitis.idaea";"X13.TY.15";8,69;6,9962153000928
"Vaccinium.vitis.idaea";"X13.TY.13";29,03;10,2223181541392
"Vaccinium.vitis.idaea";"X13.TY.14";52,42;14,3495020066337
"Vaccinium.vitis.idaea";"X13.TY.16";11,93;6,46319870771072
"Vaccinium.vitis.idaea";"X13.TY.28";17,37;7,07321972890234
"Vaccinium.vitis.idaea";"X13.TY.27";0,45;1,16122366667253
"Vaccinium.vitis.idaea";"X13.TY.26";0,25;1,01882681590547
"Vaccinium.vitis.idaea";"X13.TY.29";1,45;2,25247159423338
"Vaccinium.vitis.idaea";"X13.TY.30";10,98;6,51537167323584
"Vaccinium.vitis.idaea";"X13.TY.31";0,81;1,61709748711334
"Vaccinium.vitis.idaea";"X13.TY.32";5,89;4,33278279020201
"Vaccinium.vitis.idaea";"X13.TY.25";4,97;4,61518426698023
"Vaccinium.vitis.idaea";"X13.TY.17";1,92;2,48672714200571
"Vaccinium.vitis.idaea";"X13.TY.20";6,23;5,44380691216815
"Vaccinium.vitis.idaea";"X13.TY.21";0,29;1,0157752873266
"Vaccinium.vitis.idaea";"X13.TY.23";3,86;3,42350293758255
"Vaccinium.vitis.idaea";"X13.TY.19";12,68;6,76031409227875
"Vaccinium.vitis.idaea";"X13.TY.22";1,05;1,97724734687066
"Vaccinium.vitis.idaea";"X13.TY.24";2,01;2,82036172191161
"Vaccinium.vitis.idaea";"X13.TY.18";30,89;9,85683358504303
"Vaccinium.uliginosum";"X13.TY.1";6,85;4,67300478679123
"Vaccinium.uliginosum";"X13.TY.2";2,02;2,68626122213298
"Vaccinium.uliginosum";"X13.TY.5";22,78;9,17030883896612
"Vaccinium.uliginosum";"X13.TY.03";4,54;4,33748209788755
"Vaccinium.uliginosum";"X13.TY.4";8,35;4,97076178540802
"Vaccinium.uliginosum";"X13.TY.6";16,54;7,9794248951015
"Vaccinium.uliginosum";"X13.TY.8";33,55;11,2795721317232
"Vaccinium.uliginosum";"X13.TY.12";2,48;2,7925006642069
"Vaccinium.uliginosum";"X13.TY.11";0;0
"Vaccinium.uliginosum";"X13.TY.10";18,29;7,85629165868113
"Vaccinium.uliginosum";"X13.TY.09";67,82;18,3068616644142
"Vaccinium.uliginosum";"X13.TY.15";32,58;10,2098786466734
"Vaccinium.uliginosum";"X13.TY.13";67,11;14,2700895299195
"Vaccinium.uliginosum";"X13.TY.14";58,02;14,5770152325814
"Vaccinium.uliginosum";"X13.TY.16";7,66;5,6354927759942
"Vaccinium.uliginosum";"X13.TY.28";76,12;16,2016128689571
"Vaccinium.uliginosum";"X13.TY.27";8,4;5,50860777292771
"Vaccinium.uliginosum";"X13.TY.26";10,61;6,19114230741848
"Vaccinium.uliginosum";"X13.TY.29";2,98;3,57823715979212
"Vaccinium.uliginosum";"X13.TY.30";19,88;8,64628891957747
"Vaccinium.uliginosum";"X13.TY.31";23,31;8,96539465124237
"Vaccinium.uliginosum";"X13.TY.32";41,93;11,5410249426675
"Vaccinium.uliginosum";"X13.TY.25";5,82;4,92373966440431
"Vaccinium.uliginosum";"X13.TY.17";1,99;2,84774584611064
"Vaccinium.uliginosum";"X13.TY.20";78,8;17,9852851188987
"Vaccinium.uliginosum";"X13.TY.21";6,5;4,97953630553908
"Vaccinium.uliginosum";"X13.TY.23";3,45;3,50587789262259
"Vaccinium.uliginosum";"X13.TY.19";0;0
"Vaccinium.uliginosum";"X13.TY.22";4,71;3,85305564690958
"Vaccinium.uliginosum";"X13.TY.24";6,3;4,80503944212782
"Vaccinium.uliginosum";"X13.TY.18";19,17;9,17654815936865
"Vaccinium.myrtillus";"X13.TY.1";0;0
"Vaccinium.myrtillus";"X13.TY.2";0;0
"Vaccinium.myrtillus";"X13.TY.5";0;0
"Vaccinium.myrtillus";"X13.TY.03";0;0
"Vaccinium.myrtillus";"X13.TY.4";0;0
"Vaccinium.myrtillus";"X13.TY.6";0;0
"Vaccinium.myrtillus";"X13.TY.8";0;0
"Vaccinium.myrtillus";"X13.TY.12";0;0
"Vaccinium.myrtillus";"X13.TY.11";0;0
"Vaccinium.myrtillus";"X13.TY.10";0;0
"Vaccinium.myrtillus";"X13.TY.09";0,21;1,05328415688812
"Vaccinium.myrtillus";"X13.TY.15";0;0
"Vaccinium.myrtillus";"X13.TY.13";0,05;0,429324110572877
"Vaccinium.myrtillus";"X13.TY.14";0;0
"Vaccinium.myrtillus";"X13.TY.16";0;0
"Vaccinium.myrtillus";"X13.TY.28";0;0
"Vaccinium.myrtillus";"X13.TY.27";0;0
"Vaccinium.myrtillus";"X13.TY.26";0;0
"Vaccinium.myrtillus";"X13.TY.29";0;0
"Vaccinium.myrtillus";"X13.TY.30";0,01;0,196
"Vaccinium.myrtillus";"X13.TY.31";0;0
"Vaccinium.myrtillus";"X13.TY.32";0,01;0,196
"Vaccinium.myrtillus";"X13.TY.25";0;0
"Vaccinium.myrtillus";"X13.TY.17";0;0
"Vaccinium.myrtillus";"X13.TY.20";0;0
"Vaccinium.myrtillus";"X13.TY.21";0;0
"Vaccinium.myrtillus";"X13.TY.23";0;0
"Vaccinium.myrtillus";"X13.TY.19";0;0
"Vaccinium.myrtillus";"X13.TY.22";0;0
"Vaccinium.myrtillus";"X13.TY.24";0;0
"Vaccinium.myrtillus";"X13.TY.18";0;0
"Vaccinium.microcarpum";"X13.TY.1";0;0
"Vaccinium.microcarpum";"X13.TY.2";0;0
"Vaccinium.microcarpum";"X13.TY.5";0;0
"Vaccinium.microcarpum";"X13.TY.03";0;0
"Vaccinium.microcarpum";"X13.TY.4";0;0
"Vaccinium.microcarpum";"X13.TY.6";0;0
"Vaccinium.microcarpum";"X13.TY.8";0;0
"Vaccinium.microcarpum";"X13.TY.12";0;0
"Vaccinium.microcarpum";"X13.TY.11";0;0
"Vaccinium.microcarpum";"X13.TY.10";0;0
"Vaccinium.microcarpum";"X13.TY.09";0;0
"Vaccinium.microcarpum";"X13.TY.15";0;0
"Vaccinium.microcarpum";"X13.TY.13";0;0
"Vaccinium.microcarpum";"X13.TY.14";0;0
"Vaccinium.microcarpum";"X13.TY.16";0;0
"Vaccinium.microcarpum";"X13.TY.28";0;0
"Vaccinium.microcarpum";"X13.TY.27";0;0
"Vaccinium.microcarpum";"X13.TY.26";0;0
"Vaccinium.microcarpum";"X13.TY.29";0;0
"Vaccinium.microcarpum";"X13.TY.30";0;0
"Vaccinium.microcarpum";"X13.TY.31";0;0
"Vaccinium.microcarpum";"X13.TY.32";0;0
"Vaccinium.microcarpum";"X13.TY.25";0;0
"Vaccinium.microcarpum";"X13.TY.17";0;0
"Vaccinium.microcarpum";"X13.TY.20";11,71;7,69157018817328
"Vaccinium.microcarpum";"X13.TY.21";0;0
"Vaccinium.microcarpum";"X13.TY.23";0;0
"Vaccinium.microcarpum";"X13.TY.19";0;0
"Vaccinium.microcarpum";"X13.TY.22";0;0
"Vaccinium.microcarpum";"X13.TY.24";0;0
"Vaccinium.microcarpum";"X13.TY.18";0;0
"Tofieldia.coccinea";"X13.TY.1";1,4;2,38020795288771
"Tofieldia.coccinea";"X13.TY.2";0;0
"Tofieldia.coccinea";"X13.TY.5";0;0
"Tofieldia.coccinea";"X13.TY.03";0;0
"Tofieldia.coccinea";"X13.TY.4";0;0
"Tofieldia.coccinea";"X13.TY.6";0;0
"Tofieldia.coccinea";"X13.TY.8";0;0
"Tofieldia.coccinea";"X13.TY.12";0;0
"Tofieldia.coccinea";"X13.TY.11";0;0
"Tofieldia.coccinea";"X13.TY.10";0;0
"Tofieldia.coccinea";"X13.TY.09";0;0
"Tofieldia.coccinea";"X13.TY.15";0;0
"Tofieldia.coccinea";"X13.TY.13";0;0
"Tofieldia.coccinea";"X13.TY.14";0;0
"Tofieldia.coccinea";"X13.TY.16";0;0
"Tofieldia.coccinea";"X13.TY.28";0;0
"Tofieldia.coccinea";"X13.TY.27";0;0
"Tofieldia.coccinea";"X13.TY.26";0;0
"Tofieldia.coccinea";"X13.TY.29";0;0
"Tofieldia.coccinea";"X13.TY.30";0;0
"Tofieldia.coccinea";"X13.TY.31";0;0
"Tofieldia.coccinea";"X13.TY.32";0;0
"Tofieldia.coccinea";"X13.TY.25";0;0
"Tofieldia.coccinea";"X13.TY.17";0;0
"Tofieldia.coccinea";"X13.TY.20";0;0
"Tofieldia.coccinea";"X13.TY.21";0;0
"Tofieldia.coccinea";"X13.TY.23";0;0
"Tofieldia.coccinea";"X13.TY.19";0;0
"Tofieldia.coccinea";"X13.TY.22";0;0
"Tofieldia.coccinea";"X13.TY.24";0;0
"Tofieldia.coccinea";"X13.TY.18";0;0
"Thymus";"X13.TY.1";0;0
"Thymus";"X13.TY.2";0;0
"Thymus";"X13.TY.5";0;0
"Thymus";"X13.TY.03";0;0
"Thymus";"X13.TY.4";0;0
"Thymus";"X13.TY.6";0;0
"Thymus";"X13.TY.8";0;0
"Thymus";"X13.TY.12";0;0
"Thymus";"X13.TY.11";0;0
"Thymus";"X13.TY.10";0;0
"Thymus";"X13.TY.09";0;0
"Thymus";"X13.TY.15";0;0
"Thymus";"X13.TY.13";0;0
"Thymus";"X13.TY.14";0;0
"Thymus";"X13.TY.16";0;0
"Thymus";"X13.TY.28";0;0
"Thymus";"X13.TY.27";0;0
"Thymus";"X13.TY.26";0;0
"Thymus";"X13.TY.29";0;0
"Thymus";"X13.TY.30";0;0
"Thymus";"X13.TY.31";0;0
"Thymus";"X13.TY.32";0;0
"Thymus";"X13.TY.25";0;0
