"";"Achillea.millefolium";"Agrostidinae";"Alnus";"Alnus.alnobetula";"Alyssum.obovatum";"Andromeda.polifolia";"Androsace.chamaejasme";"Anthemideae";"Apiaceae";"Arctous";"Arnica";"Asteraceae";"Asteroideae";"Astragalus";"Betula";"Bistorta";"Bistorta.vivipara";"Braya";"Cardamine";"Carex";"Carex.aquatilis";"Carex.lachenalii";"Carex.vaginata";"Cassiope.tetragona";"Castilleja";"Cerastium";"Chamaedaphne.calyculata";"Chamerion.angustifolium";"Chrysosplenium";"Convallaria.majalis";"Crepidinae";"Delphinium";"Draba";"Dryas";"Empetrum";"Epilobium";"Eriophorum";"Eritrichium";"Eutrema.edwardsii";"Galium";"Geum";"Hedysarum.boreale";"Hedysarum.hedysaroides";"Hedysarum.hedysaroides.subsp..arcticum";"Hulteniella.integrifolia";"Juniperus";"Kobresia";"Lagotis.glauca";"Larix";"Luzula";"Micranthes.nelsoniana";"Minuartia";"Muhlenbergia.richardsonis";"Myosotis";"Myosotis.alpestris";"Oxycoccus.quadripetalus";"Oxyria.digyna";"Oxytropis";"Pachypleurum.alpinum";"Papaver";"Parrya";"Pedicularis";"Pedicularis.capitata";"Pedicularis.lanata";"Pedicularis.lapponica";"Pedicularis.oederi";"Pedicularis.pacifica";"Pedicularis.pennellii";"Pedicularis.sceptrum.carolinum";"Pedicularis.tristis";"Pedicularis.verticillata";"Pinus";"Poeae";"Poinae";"Populus";"Puccinellia";"Pyrola.grandiflora";"Pyrola.rotundifolia";"Ranunculaceae";"Ranunculus";"Ranunculus.arcticus";"Ranunculus.pygmaeus";"Ranunculus.reptans";"Ranunculus.sceleratus";"Rhodiola.rosea";"Rhododendron";"Rhododendron.lapponicum";"Ribes";"Rosoideae";"Rubus";"Rumex";"Saliceae";"Sambucus";"Saussurea";"Saxifraga";"Saxifraga.hirculus";"Saxifraga.oppositifolia";"Saxifraga.porsildiana";"Saxifragaceae";"Senecioninae";"Silene";"Sium.suave";"Stellaria";"Stellaria.borealis";"Stellaria.longifolia";"Tephroseris";"Thalictrum";"Thymus";"Tofieldia.coccinea";"Vaccinium.microcarpum";"Vaccinium.myrtillus";"Vaccinium.uliginosum";"Vaccinium.vitis.idaea";"Valeriana"
"X13.TY.1";0;0;0;1,06;0;0;0,69;11,93;0;0,1;0;24,53;4,49;10,64;23,48;0,26;14,29;0;0;29,97;30,93;0;0,06;0;0;0;0;0;1,15;0;0;2,51;0,96;166;0,58;0;12,35;1,61;0;0;0,86;0;0;0;0;0;0,58;2,71;2,51;0,96;0,42;0;1,01;0;3,67;0;3,84;1,64;0,31;12,26;2,57;3,14;4,11;0;0,56;4,22;0,49;0;0,04;0,09;3,19;0;0;9;0;0;3,97;0,68;0,54;8,29;0;1,32;0,57;0,47;0,22;15,26;0,06;0;1,47;0,13;0;1246,63;0,01;0,01;1,63;6,33;3,02;1,26;0,83;0,3;0,9;0;0,24;0;0;0,02;1,25;0;1,4;0;0;6,85;3,01;7,56
"X13.TY.2";0;1,45;0;0;0;0,02;0;0;0;0;0;2,35;0;0;220,76;0,22;2,3;0;0;75,46;364,67;0;0;0;0;0;0;0;0;0;0;0;0;36,68;0;0;18,13;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;5,38;0;0,3;0;0,11;0,39;0;0;0;0;0;0;69,85;0;0;0;0;0;2,37;0;0;0;3,52;0;1,09;0;0;10,23;0,55;0;881,73;1,13;0;0,04;5,04;0;0;0;0,01;0;0;0;0;0;0,26;0;0;0;0;0;2,02;1,44;0
"X13.TY.5";0;0,95;0;0;0;0;0;1,41;0;0;0;27,14;0,06;0;636,45;1,04;13,05;0;0;25,23;27,08;2,2;0;0;0;0;0;0;0;0;0;0;0,77;235,81;0;0;1,44;0;0;0;0;0;0;0;0;0;0;0,98;0;0;0,21;0;0;0;0;0;0,05;0;0;1,53;0;2,85;0,45;0;0,64;0,2;0;0;0;0;0;0;0;7,7;0;0;1,3;0,08;0;0,03;0;0,8;0;0;0;6,17;0,02;0;0;0;0;687,45;0,21;0;1,05;0;0;0,55;0;0,04;0;0;0;0;0;0;0;0;0;0;0;22,78;2,24;0,04
"X13.TY.03";0;0;0;0;0;0;0;0;0;0;0;119,66;0,28;0;93,9;7,54;103,66;0;0;13,43;28,63;0;0;5,21;0;0;0;0;0;0;0;0;0;96,53;0;0,76;0,85;0;0,24;0;0;0;0;0;0;0;0;2,4;1,45;0;0,79;0;0;0;0;0;19,93;0;0;0;0;3,87;3,37;0;0,25;0;0,44;0;0,08;0;0;278,63;0;66,9;0;0;4,51;0,89;0;0;0;0;0;0;0;43,6;0,43;0;0,02;0;0;772,73;1,12;0;1,54;8,84;0;4,61;3,52;0,01;0;0;0;0;0;7,25;0;0;0;0;0;4,54;4,53;3,06
"X13.TY.4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;832,67;0;13,88;0;79,1;3,45;29,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,84;0,58;0;0;0;0;0;0;0;0;0;0;0;0;2,03;0;0;244,23;0;0;0;0;0;0;0;0;24,62;0;0;0;0;12,71;0;0;0;0;0;0;0;0;0;0;0;38,45;0;0;0;0;0;0;6,8;0;0;46,68;0,08;0;365,31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,35;0;0
"X13.TY.6";0;0,29;0;0;0;0;0;10,11;0;0,07;1,89;29,75;4,29;13,99;215,33;0,37;6,54;0;0;19,13;20,74;1,69;0;0;0;0;0;0;0;0;0;0;0;805,55;5,8;0;1,02;0;0;0;0;0;0;0;0;0;0;0;3,14;0,43;0;0;0;0;0;0;0,55;6,1;0;0,13;0;3,8;13,39;0,03;0,71;8;0;0;0,5;0;0;0;0;4,15;1,15;0;0,07;0,02;0;0,25;0;2,48;0;0;0;21,9;0,21;0;0;0;0;471,73;0,2;0;0,62;3,13;1,9;0;0,02;0,05;0;0;0;0;0;0;0;0;0;0;0;16,54;11,19;1,05
"X13.TY.8";0;0;0;16,38;0;0;0;0,04;0,04;0;0;39,09;0,04;8,32;169,01;2,04;8,2;0;0;21,88;14,06;0,2;0,42;0;0;0;0;0;0;0;0;0;0;139,05;1,42;0;2,7;0,04;0;0;0;0;0;0;0;0;0;0;0,04;0;0,51;0;0;0;0;0;0;0,03;0;1,52;0;2,38;10,19;0;1,32;1,28;0,37;0;0,07;0;0;0;0;21,56;0;0;0,39;0;0;0,09;0,02;0,29;0;0;0;10,1;0,02;0;0;0;0,34;1188,89;0,11;0,03;1,47;0;0;0,3;0,37;0;0;0;0;0;0;0;0;0;0;0;0;33,55;8,38;3,45
"X13.TY.12";0;0;0;0,23;0;0;0;0;0;0;0;1,76;0;0;12,04;0;5,53;0;0;0,13;0,17;0;0;0,04;0;0;0;0;0,06;0;0;0;0;5,52;0;0,56;0,02;0;0,25;0;0;0;0;0;0;0;0;0;0,9;0;0;0;0;0;0;0;0;0;0;0,23;0;4,66;0,52;0;0;0;1,12;0;0;0;0;1,31;0;462,01;0;0;0,22;0;7,46;11,82;0;0;8,39;0,06;0;1,56;0,06;0;1,69;0,05;0,86;1177,86;0;0;0;0,18;0;0,04;0,17;0;0;0;0;0;0;0;0;0;0;0;0;2,48;0,02;0,02
"X13.TY.11";0;0;0;0,28;0;0;0;0;0;0;0;2,93;0;0,71;17,03;0;0,56;2,47;0;4,51;47,5;0;0;0;0;0;0;0;1,55;0;0;0;0;0;0;8,6;3,11;0;0;0;0;0;0;0;0;0;0;0;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0,69;0,1;0;0;0;0,04;0;0,23;0;0;0;0;831,98;0;0;0;0;236,84;7,79;0;0;0,04;2,92;0;0,17;0;0;2,15;0;0;533,44;0;0;3,13;0,07;0;0;0;0;0;0;0;0;0;1,01;0;0;0;0;0;0;0;0
"X13.TY.10";0;0;0;1,99;0;0;0;0;0;0;0;12,33;0,02;0;34,66;0;3;0;0;1,49;1,55;0;0,15;0;0;0;0;0;0;0;0;0;0;5,78;0;0;0,16;0;0;0;0;0;0;0;0;6,62;0;0;5,14;0;0;0;2,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164,92;0;0;0;0;4,75;328,49;0;0;0;9,9;0;36,2;0,09;0;55,62;0,16;0;953,8;0,04;0;1,83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,29;60,93;0
